,GENE,GSM305697,GSM305698,GSM305699,GSM305700,GSM305701,GSM305702
0,SO_0001,-0.067120016,0.117803087,-0.045466968,0.105725075,0.077387085,0.316661466
1,SO_0001F,-0.036463171,-0.595499987,0.036864647,0.948691963,0.05821592,0.000657963
2,SO_0002,-0.017315465,0.059664685,0.083575465,0.253855697,0.251856114,-0.006501353
3,SO_0003,-0.051702608,-0.006969274,0.066909207,0.020898437,0.005599011,-0.298123036
4,SO_0004,-0.217113355,0.047879151,0.01986054,0.073127397,0.23991715,-0.111158493
5,SO_0005,-0.031871463,0.104401696,-0.038645958,0.097228433,0.176274543,0.283741521
6,SO_0006,-1.221401127,-0.022666988,-0.927665158,0.039892789,0.080357868,-0.526802738
7,SO_0007,0.08275498,-0.11922927,0.055471008,-0.264279809,0.337112863,-0.280790828
8,SO_0008,-0.022939119,-0.04381937,0.011854819,-0.046757998,-0.068181695,-0.225280316
9,SO_0009,0.00913643,-0.014638594,0.030906017,0.00144713,0.031545568,0.065084657
10,SO_0009F,-0.002194129,0.131874238,-0.12483424,-0.271480199,-0.66897541,0.183510534
11,SO_0010,0.01402933,0.013199427,0.025609537,0.033897087,-0.026609911,-0.017230919
12,SO_0010F,-0.225650949,0.624470487,-0.06129257,-0.106354847,0.217964291,0.30075322
13,SO_0011,-0.001795326,0.041865542,0.064281636,0.047105981,0.186060803,-0.084580744
14,SO_0012,-0.086455296,0.010687274,-0.010304716,0.075348868,0.147887483,-0.039694086
15,SO_0013,0.041913808,-0.006680142,-0.020319688,-0.195201028,-0.189226225,-0.173362477
16,SO_0014,0.024144295,0.055992663,-0.091796244,0.020426525,0.108788095,-0.139075189
17,SO_0015,-0.194177276,0.012511438,-0.018804355,-0.012206023,-0.0443357,-0.297473335
18,SO_0016,-0.024490159,-0.030144685,-0.05760788,0.038228343,-0.063062361,-0.021098198
19,SO_0017,-1.016561878,0.078041328,-0.883791159,-0.074469015,-0.082542819,0.121806275
20,SO_0017F,0.057133762,0.04077682,-0.018473426,0.132171666,0.09202645,-0.008644099
21,SO_0018,-0.071594673,0.123966283,-0.013713113,-0.02224898,-0.249571622,-0.040169173
22,SO_0019,-0.074129241,-0.122738254,0.027376494,-0.064426899,-0.205541894,0.006562764
23,SO_0020,0.115133166,0.080667054,0.023269736,0.117457673,0.247651386,-0.293076681
24,SO_0021,0.065618388,0.038373002,0.162904121,0.040950068,0.272041831,-0.275104342
25,SO_0022,-0.054236646,0.025453742,0.380958176,0.022104932,-0.045392352,0.261685695
26,SO_0023,-0.054039509,0.142058055,-0.048225606,-0.036667378,-0.011014941,-0.00921274
27,SO_0024,-0.467974434,-0.014534541,-0.631094609,0.108259231,-0.068270006,-0.170736139
28,SO_0024F,-0.169525252,0.099242202,0.327305248,-0.855258404,-0.243118989,0.429830041
29,SO_0025,0.021043704,-0.033452178,0.090073757,0.241262865,0.092626342,-0.128939045
30,SO_0026,-0.044567038,-0.053176551,0.052662845,-0.104549269,-0.041057647,0.201470267
31,SO_0027,0.012018693,-0.033595442,-0.00219746,-0.148740719,-0.216955252,0.110229486
32,SO_0028,0.090216487,-0.028899769,0.075959539,0.062573874,-0.150294473,-0.118926433
33,SO_0029,-0.100269554,0.070737355,0.021192974,0.081857133,-0.065237924,-0.094405405
